# pipeline_state=no_quality_check
time_sec,Delta,Theta,Alpha,Beta,Gamma,beta_alpha_ratio,theta_beta_ratio
34.0,440.3987955288724,746.7287779013673,1016.2471833027073,128.63392810687128,25.657263145625308,0.12657740185692143,5.805068607412596
35.0,433.4821010084561,411.9744541280536,624.593010811723,26.694365631369664,15.181965828948538,0.04273881578770403,15.433011588180436
36.0,153.7215714202139,774.9364924116088,558.6277511511896,53.742377716735795,17.011058386589646,0.09620427486100795,14.419467938246571
37.0,332.96779426472625,391.98234986068536,271.4857584071574,70.13029132735352,6.974099279609019,0.2583203323033118,5.589344382315394
38.0,192.9608002912456,192.1271524085238,149.1961828242152,16.749153912626344,4.255176208810296,0.11226261688183004,11.470857179459603
39.0,1668.0487346660293,522.1895261784666,101.64158808373404,29.31784359283937,5.875588479537389,0.2884433837130412,17.811321099550682
40.0,761.5420473677756,222.4453939446106,190.60017738073637,20.647621982725365,5.3830048633141745,0.10832950035235478,10.773414688176556
41.0,409.9037294872664,85.13706399944427,32.95019536084543,7.938225792242819,1.8295093454330544,0.24091589458907361,10.724948650697192
42.0,821.8929489814859,126.09791912099563,108.39407060418827,17.895757639387142,4.436985440309989,0.1650990459130858,7.046246471480152
43.0,425.00096512958686,682.8813045899701,702.7474870846343,45.27636637452425,12.93357195612889,0.06442764607007619,15.082511236462835
44.0,430.63517750855164,679.2837294626022,479.57439248651474,95.47535114685975,11.081079418227377,0.1990835053803346,7.114754973958997
45.0,153.13944429264538,62.52442615394685,303.16918944548917,13.71856707418384,6.525419280224874,0.045250531887081766,4.557649921879077
46.0,270.68743127064056,185.96961935023856,81.94101478631767,14.03571450673581,3.1265672145686105,0.1712904647731976,13.249743663636847
47.0,748.8532013299631,378.1025053073321,530.4875517845561,52.9263728524755,9.947502766829698,0.09976930217199552,7.143933825981941
48.0,2427.0115450724916,1669.9543003034419,831.7171997384023,81.05045409742397,22.950313466441447,0.09744953467707117,20.603885800517904
49.0,514.755225940581,133.46505057345215,235.66566816529274,54.01252452718209,4.99183815529607,0.22919131559416803,2.4710018970930556
50.0,56.41500522188763,65.0834493591709,25.981815369813695,6.680377587195363,1.0649209163037965,0.25711742971419876,9.742480647189739
51.0,186.2277484795469,269.86672893519955,133.19572152850256,24.289693217942926,5.427007811984176,0.18236091174103647,11.110339126714353
52.0,413.62945645892864,357.4095735018601,282.74622446398143,27.430547204595108,7.165282300070428,0.09701472497677661,13.029618798198367
53.0,54.34207897249902,149.39001390380213,103.72125911551602,11.858375864493375,5.052472800374951,0.11432927025390728,12.597847766919683
54.0,207.06296249946294,702.3006050695302,993.3168648192704,84.16566697802917,25.592683336214556,0.08473194200054454,8.344264713696864
55.0,493.73458420857713,432.48297428812606,421.15947398353364,30.995702093210078,10.747249616115319,0.07359611740426368,13.952998160440632
56.0,440.95555213452644,252.6429615054219,195.2545010226217,36.43595427436088,8.427554595527866,0.18660749987084552,6.933891715941711
57.0,1091.0632950918687,180.44175454319384,326.55407822692257,81.32035284059097,6.435541514804486,0.2490256844505902,2.218900290520217
58.0,1526.5247278980053,251.4946232738679,109.81309139031687,24.444264311926553,5.008482446704088,0.22259881770418866,10.288492223149529
59.0,429.52241213336964,350.7713363578011,588.7683044452922,44.073518995379466,17.82411956058046,0.07485715291162508,7.9587776141627105
60.0,280.46345594454687,262.6452140401573,241.21171783975242,18.586325327684463,9.770190282656191,0.0770539901383737,14.13109958045044
61.0,296.0529702214323,414.3265268910958,179.43617390430936,28.318174866132836,6.471833677441236,0.15781753617436414,14.631116901061665
62.0,659.3968480844427,180.4979268802531,87.48064534566595,12.796248156287604,4.015076651296225,0.14627519156637736,14.105535050253232
